StationId,StationName,City,State,Status,lat,lon
MH012,"Vasai West, Mumbai - MPCB",Mumbai,Maharashtra,Active,19.076,72.8777
MH013,"Vile Parle West, Mumbai - MPCB",Mumbai,Maharashtra,Active,19.076,72.8777
MH014,"Worli, Mumbai - MPCB",Mumbai,Maharashtra,Active,19.076,72.8777
MH015,"Opp GPO Civil Lines, Nagpur - MPCB",Nagpur,Maharashtra,Unknown,21.1458,79.0882
MH016,"Gangapur Road, Nashik - MPCB",Nashik,Maharashtra,Unknown,20.0059,73.7897
MH020,"Karve Road, Pune - MPCB",Pune,Maharashtra,Unknown,18.5204,73.8567
MH021,"Solapur, Solapur - MPCB",Solapur,Maharashtra,Unknown,17.6599,75.9064
PB001,"Golden Temple, Amritsar - PPCB",Amritsar,Punjab,Active,31.634,74.8723
PB005,"Punjab Agricultural University, Ludhiana - PPCB",Ludhiana,Punjab,Unknown,30.901,75.8573
RJ004,"Adarsh Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,Active,26.9124,75.7873
RJ005,"Police Commissionerate, Jaipur - RSPCB",Jaipur,Rajasthan,Active,26.9124,75.7873
RJ006,"Shastri Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,Active,26.9124,75.7873
RJ007,"Collectorate, Jodhpur - RSPCB",Jodhpur,Rajasthan,Unknown,26.2389,73.0243
RJ008,"Shrinath Puram, Kota - RSPCB",Kota,Rajasthan,Unknown,25.2138,75.8648
TN001,"Alandur Bus Depot, Chennai - CPCB",Chennai,Tamil Nadu,Active,13.0827,80.2707
TN002,"Manali Village, Chennai - TNPCB",Chennai,Tamil Nadu,Active,13.0827,80.2707
TN003,"Manali, Chennai - CPCB",Chennai,Tamil Nadu,Active,13.0827,80.2707
TN004,"Velachery Res. Area, Chennai - CPCB",Chennai,Tamil Nadu,Active,13.0827,80.2707
TN005,"SIDCO Kurichi, Coimbatore - TNPCB",Coimbatore,Tamil Nadu,Active,11.0168,76.9558
TG001,"Bollaram Industrial Area, Hyderabad - TSPCB",Hyderabad,Telangana,Active,17.385,78.4867
TG002,"Central University, Hyderabad - TSPCB",Hyderabad,Telangana,Active,17.385,78.4867
TG003,"ICRISAT Patancheru, Hyderabad - TSPCB",Hyderabad,Telangana,Active,17.385,78.4867
TG004,"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,Telangana,Active,17.385,78.4867
TG005,"Sanathnagar, Hyderabad - TSPCB",Hyderabad,Telangana,Active,17.385,78.4867
TG006,"Zoo Park, Hyderabad - TSPCB",Hyderabad,Telangana,Active,17.385,78.4867
UP001,"Sanjay Palace, Agra - UPPCB",Agra,Uttar Pradesh,Unknown,27.1767,78.0081
UP004,"Indirapuram, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,Unknown,28.6692,77.4538
UP005,"Loni, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,Unknown,28.6692,77.4538
UP006,"Sanjay Nagar, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,Unknown,28.6692,77.4538
UP007,"Vasundhara, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,Unknown,28.6692,77.4538
UP011,"Nehru Nagar, Kanpur - UPPCB",Kanpur,Uttar Pradesh,Unknown,26.4499,80.3319
UP012,"Central School, Lucknow - CPCB",Lucknow,Uttar Pradesh,Active,26.8467,80.9462
UP013,"Gomti Nagar, Lucknow - UPPCB",Lucknow,Uttar Pradesh,Active,26.8467,80.9462
UP014,"Lalbagh, Lucknow - CPCB",Lucknow,Uttar Pradesh,Active,26.8467,80.9462
UP015,"Nishant Ganj, Lucknow - UPPCB",Lucknow,Uttar Pradesh,Inactive,26.8467,80.9462
UP016,"Talkatora District Industries Center, Lucknow - CPCB",Lucknow,Uttar Pradesh,Active,26.8467,80.9462
UP017,"Ganga Nagar, Meerut - UPPCB",Meerut,Uttar Pradesh,Unknown,28.9845,77.7064
UP018,"Jai Bhim Nagar, Meerut - UPPCB",Meerut,Uttar Pradesh,Unknown,28.9845,77.7064
UP019,"Pallavpuram Phase 2, Meerut - UPPCB",Meerut,Uttar Pradesh,Unknown,28.9845,77.7064
UP026,"Ardhali Bazar, Varanasi - UPPCB",Varanasi,Uttar Pradesh,Unknown,25.3176,82.9739
WB007,"Ballygunge, Kolkata - WBPCB",Kolkata,West Bengal,Active,22.5726,88.3639
WB008,"Bidhannagar, Kolkata - WBPCB",Kolkata,West Bengal,Active,22.5726,88.3639
WB009,"Fort William, Kolkata - WBPCB",Kolkata,West Bengal,Active,22.5726,88.3639
WB010,"Jadavpur, Kolkata - WBPCB",Kolkata,West Bengal,Active,22.5726,88.3639
WB011,"Rabindra Bharati University, Kolkata - WBPCB",Kolkata,West Bengal,Active,22.5726,88.3639
WB012,"Rabindra Sarobar, Kolkata - WBPCB",Kolkata,West Bengal,Active,22.5726,88.3639
WB013,"Victoria, Kolkata - WBPCB",Kolkata,West Bengal,Active,22.5726,88.3639
